,speaker,path
10,c66a8e16733d33eb66703f76b1ea856d7f2e51d0a3841a73800d34108cd8d0ae631ae44b1acc85e72547021a1440969ef9a191fa8aedfba9915171d331c5b9c6,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_39578056.mp3
11,c66a8e16733d33eb66703f76b1ea856d7f2e51d0a3841a73800d34108cd8d0ae631ae44b1acc85e72547021a1440969ef9a191fa8aedfba9915171d331c5b9c6,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_39578079.mp3
12,2077cbe7a8e341ff7149b967b597a2a6a6efbe8c62b0f9c71b96ce2cba9b77f23a46a47eedc3750d46234e710b6ff2f78f6c42bfb1053d951a03e58367525bb1,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38737651.mp3
13,2077cbe7a8e341ff7149b967b597a2a6a6efbe8c62b0f9c71b96ce2cba9b77f23a46a47eedc3750d46234e710b6ff2f78f6c42bfb1053d951a03e58367525bb1,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38737667.mp3
14,2077cbe7a8e341ff7149b967b597a2a6a6efbe8c62b0f9c71b96ce2cba9b77f23a46a47eedc3750d46234e710b6ff2f78f6c42bfb1053d951a03e58367525bb1,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38737745.mp3
15,2077cbe7a8e341ff7149b967b597a2a6a6efbe8c62b0f9c71b96ce2cba9b77f23a46a47eedc3750d46234e710b6ff2f78f6c42bfb1053d951a03e58367525bb1,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38737746.mp3
16,da5d11ca0de6b4ac2dc010fab116be3b4599c35ebbab3570b45e9bf9c4e593a80514cc1a4d4f35337a7b54cb54604bfb3512158bb18eef3d39e5fd61a3b8f6ae,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38517366.mp3
17,da5d11ca0de6b4ac2dc010fab116be3b4599c35ebbab3570b45e9bf9c4e593a80514cc1a4d4f35337a7b54cb54604bfb3512158bb18eef3d39e5fd61a3b8f6ae,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38517376.mp3
18,da5d11ca0de6b4ac2dc010fab116be3b4599c35ebbab3570b45e9bf9c4e593a80514cc1a4d4f35337a7b54cb54604bfb3512158bb18eef3d39e5fd61a3b8f6ae,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38517393.mp3
19,da5d11ca0de6b4ac2dc010fab116be3b4599c35ebbab3570b45e9bf9c4e593a80514cc1a4d4f35337a7b54cb54604bfb3512158bb18eef3d39e5fd61a3b8f6ae,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38517394.mp3
20,da5d11ca0de6b4ac2dc010fab116be3b4599c35ebbab3570b45e9bf9c4e593a80514cc1a4d4f35337a7b54cb54604bfb3512158bb18eef3d39e5fd61a3b8f6ae,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38517404.mp3
21,da5d11ca0de6b4ac2dc010fab116be3b4599c35ebbab3570b45e9bf9c4e593a80514cc1a4d4f35337a7b54cb54604bfb3512158bb18eef3d39e5fd61a3b8f6ae,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38517405.mp3
22,da5d11ca0de6b4ac2dc010fab116be3b4599c35ebbab3570b45e9bf9c4e593a80514cc1a4d4f35337a7b54cb54604bfb3512158bb18eef3d39e5fd61a3b8f6ae,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38517418.mp3
23,535ad72466e1c3e78c590823995970a9901b2dbfbc52eb2318544ed75ba718f0946b95017eb1c81daed23d415bfaae0f1108a19c334c156dba1021ba44ddbd43,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_39111490.mp3
24,535ad72466e1c3e78c590823995970a9901b2dbfbc52eb2318544ed75ba718f0946b95017eb1c81daed23d415bfaae0f1108a19c334c156dba1021ba44ddbd43,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_39111499.mp3
25,535ad72466e1c3e78c590823995970a9901b2dbfbc52eb2318544ed75ba718f0946b95017eb1c81daed23d415bfaae0f1108a19c334c156dba1021ba44ddbd43,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_39111511.mp3
26,535ad72466e1c3e78c590823995970a9901b2dbfbc52eb2318544ed75ba718f0946b95017eb1c81daed23d415bfaae0f1108a19c334c156dba1021ba44ddbd43,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_39111518.mp3
27,535ad72466e1c3e78c590823995970a9901b2dbfbc52eb2318544ed75ba718f0946b95017eb1c81daed23d415bfaae0f1108a19c334c156dba1021ba44ddbd43,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_39111520.mp3
28,535ad72466e1c3e78c590823995970a9901b2dbfbc52eb2318544ed75ba718f0946b95017eb1c81daed23d415bfaae0f1108a19c334c156dba1021ba44ddbd43,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_39111528.mp3
29,535ad72466e1c3e78c590823995970a9901b2dbfbc52eb2318544ed75ba718f0946b95017eb1c81daed23d415bfaae0f1108a19c334c156dba1021ba44ddbd43,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_39111539.mp3
30,535ad72466e1c3e78c590823995970a9901b2dbfbc52eb2318544ed75ba718f0946b95017eb1c81daed23d415bfaae0f1108a19c334c156dba1021ba44ddbd43,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_39111585.mp3
31,f2d939a48f9da895ff0dc736c3e6f2b943a5a443b2c248792b087efd592e26daf137569082123a9903971b2b96496526b2a32313236ed844869c1a78b60dfce1,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_39565813.mp3
32,f2d939a48f9da895ff0dc736c3e6f2b943a5a443b2c248792b087efd592e26daf137569082123a9903971b2b96496526b2a32313236ed844869c1a78b60dfce1,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_39565844.mp3
33,f2d939a48f9da895ff0dc736c3e6f2b943a5a443b2c248792b087efd592e26daf137569082123a9903971b2b96496526b2a32313236ed844869c1a78b60dfce1,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_39565846.mp3
34,f2d939a48f9da895ff0dc736c3e6f2b943a5a443b2c248792b087efd592e26daf137569082123a9903971b2b96496526b2a32313236ed844869c1a78b60dfce1,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_39565963.mp3
35,f2d939a48f9da895ff0dc736c3e6f2b943a5a443b2c248792b087efd592e26daf137569082123a9903971b2b96496526b2a32313236ed844869c1a78b60dfce1,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_39566063.mp3
36,f2d939a48f9da895ff0dc736c3e6f2b943a5a443b2c248792b087efd592e26daf137569082123a9903971b2b96496526b2a32313236ed844869c1a78b60dfce1,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_39566125.mp3
37,f2d939a48f9da895ff0dc736c3e6f2b943a5a443b2c248792b087efd592e26daf137569082123a9903971b2b96496526b2a32313236ed844869c1a78b60dfce1,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_39566270.mp3
38,f2d939a48f9da895ff0dc736c3e6f2b943a5a443b2c248792b087efd592e26daf137569082123a9903971b2b96496526b2a32313236ed844869c1a78b60dfce1,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_39566462.mp3
39,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492662.mp3
40,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492668.mp3
41,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492675.mp3
42,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492690.mp3
43,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492696.mp3
44,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492700.mp3
45,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492709.mp3
46,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492710.mp3
47,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492711.mp3
48,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492720.mp3
49,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492721.mp3
50,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492727.mp3
51,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492744.mp3
52,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492747.mp3
53,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492749.mp3
54,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492759.mp3
55,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492761.mp3
56,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492764.mp3
57,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492768.mp3
58,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492772.mp3
59,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492778.mp3
60,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492788.mp3
61,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492791.mp3
62,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492802.mp3
63,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492805.mp3
64,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492807.mp3
65,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492809.mp3
66,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492816.mp3
67,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492824.mp3
68,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492838.mp3
69,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492845.mp3
70,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492853.mp3
71,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492854.mp3
72,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492867.mp3
73,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492868.mp3
74,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492869.mp3
75,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492872.mp3
76,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492873.mp3
77,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492877.mp3
78,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492879.mp3
79,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492885.mp3
80,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492891.mp3
81,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492897.mp3
82,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492899.mp3
83,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492900.mp3
84,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492902.mp3
85,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492903.mp3
86,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492917.mp3
87,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492918.mp3
88,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492925.mp3
89,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492926.mp3
90,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492927.mp3
91,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492929.mp3
92,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492930.mp3
93,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492931.mp3
94,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492932.mp3
95,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492933.mp3
96,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492937.mp3
97,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492944.mp3
98,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492948.mp3
99,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492967.mp3
100,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492969.mp3
101,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492971.mp3
102,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492975.mp3
103,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492977.mp3
104,e4c54f9bfb2999d7efab0da33ad3fbf670142a1978b919ac104a848381341ae603cad3f21ee2a61d03501660e7775845dbedd73a973465b6fc7b144d1a567efc,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38492980.mp3
